time,x,y,z,yaw,pitch,roll
1683031440178949888.00000000000000000000,106.38614463103445473280,79.26004095068130084201,25.42007408954865610440,-73.59312444453797752431,0.00000000000000000000,0.00000000000000000000
1683031440299680000.00000000000000000000,108.32625818386802052373,78.51120513338314310658,22.17487871568305379810,-76.77183032316851551968,0.00000000000000000000,0.00000000000000000000
1683031440412302592.00000000000000000000,109.53160928185194222806,77.61453468477940020875,25.86424703660331303468,-76.06904939258119213719,0.00000000000000000000,0.00000000000000000000
1683031440527212288.00000000000000000000,110.51774210870621573122,75.40211426357238622131,24.58929400245244778489,-79.09570242744614176900,0.00000000000000000000,0.00000000000000000000
1683031440663943168.00000000000000000000,110.91675936158789284036,70.49368565471581860038,21.85393134272344539681,-75.68616854895439871598,0.00000000000000000000,0.00000000000000000000
1683031440764875776.00000000000000000000,109.88441452698148736999,71.62491132477006772206,25.20666359613774432091,-77.99605771048665303624,0.00000000000000000000,0.00000000000000000000
1683031440898005504.00000000000000000000,111.92085709208643606871,68.20882657467733167778,25.58492191840534601965,-75.88386503074173106143,0.00000000000000000000,0.00000000000000000000
1683031441018398464.00000000000000000000,109.72203664637696363116,66.44577258502452821176,23.58672849158714512896,-73.99063970093287423424,0.00000000000000000000,0.00000000000000000000
1683031441148394496.00000000000000000000,112.19158355008291039212,66.12651285448815485779,23.49539796035271166375,-76.81191036112431902438,0.00000000000000000000,0.00000000000000000000
1683031441265418496.00000000000000000000,112.08014634729791225709,63.14595184437032315827,24.20936241287792256571,-77.54051724377480070416,0.00000000000000000000,0.00000000000000000000
1683031441380932096.00000000000000000000,111.09699433617419117581,61.04873858300792477394,22.63678733940334808494,-79.58900448434665975128,0.00000000000000000000,0.00000000000000000000
1683031441510070784.00000000000000000000,110.47577634316927230884,61.80825918489149728430,23.77985781612866134083,-78.75263572840832182465,0.00000000000000000000,0.00000000000000000000
1683031441619259136.00000000000000000000,110.72270738611274509822,58.59897139598407278527,23.54188191443139999137,-79.90222060382362201381,0.00000000000000000000,0.00000000000000000000
1683031441742697728.00000000000000000000,110.18667302299976995528,58.66575664164174952475,24.04521328476602803903,-78.11977026375680566161,0.00000000000000000000,0.00000000000000000000
1683031441876388608.00000000000000000000,111.94840009861898977306,57.71180747167085911542,23.09984550192757524201,-80.18566110295547844089,0.00000000000000000000,0.00000000000000000000
1683031441987155200.00000000000000000000,111.71973181812761310994,57.38590545712285972968,25.72540231233721996773,-77.32563502098545882291,0.00000000000000000000,0.00000000000000000000
1683031442125995008.00000000000000000000,111.46127925201525954435,53.35314061029574617123,21.77652920643308576132,-80.52499983817841666678,0.00000000000000000000,0.00000000000000000000
1683031442246874880.00000000000000000000,112.12607990605802399386,55.69630099501880238222,21.90386073558632418212,-81.21725780050893206408,0.00000000000000000000,0.00000000000000000000
1683031442369931008.00000000000000000000,112.84044678786663951087,56.34195093765382011952,22.70144287972674135290,-81.03596886439913760114,0.00000000000000000000,0.00000000000000000000
1683031442481312000.00000000000000000000,111.25791200391830670924,55.02851001987269086158,23.91576191268190854089,-80.04197446514378100346,0.00000000000000000000,0.00000000000000000000
1683031442605124352.00000000000000000000,113.66289427444311854742,54.82787379242001435387,23.55409229461357156765,-77.93594228007501101274,0.00000000000000000000,0.00000000000000000000
1683031442722493696.00000000000000000000,112.70473520584101834174,55.44332656503600986753,22.60354310960736512470,-77.49268212604314953751,0.00000000000000000000,0.00000000000000000000
1683031442819087872.00000000000000000000,111.51813974154909203662,53.52190943526090194382,23.16502658386167468052,-81.25265499630332044489,0.00000000000000000000,0.00000000000000000000
1683031442959450880.00000000000000000000,111.39761629168707202098,53.79501433574726831921,23.55112190728380738847,-79.99573368807826057036,0.00000000000000000000,0.00000000000000000000
1683031443079184896.00000000000000000000,112.65490559342430287870,55.73334826758575388794,24.24500072215729318259,-81.44765896644420877237,0.00000000000000000000,0.00000000000000000000
1683031443202267904.00000000000000000000,112.33035315826457178900,55.72560386065850934756,24.77333208567668876299,-80.57186404911060151335,0.00000000000000000000,0.00000000000000000000
1683031443347179264.00000000000000000000,111.05230521354148720548,54.87880479121372445661,22.63822217296676342357,-78.23382216293749991110,0.00000000000000000000,0.00000000000000000000
1683031443470865664.00000000000000000000,110.48413773689641459441,53.43845466044239600478,22.06209669408697848780,-80.36361168726907067139,0.00000000000000000000,0.00000000000000000000
1683031443595741184.00000000000000000000,110.29855890438800258835,54.74705261243239107216,24.47821820034279483025,-79.45543647586721647258,0.00000000000000000000,0.00000000000000000000
1683031443720319744.00000000000000000000,113.80658093655387119725,54.94292484883686000785,24.22409753368118501271,-79.20569469834808273845,0.00000000000000000000,0.00000000000000000000
1683031443824954368.00000000000000000000,113.56015035913888766572,57.35564386269850700728,25.54363633051961457454,-79.09932613848195614992,0.00000000000000000000,0.00000000000000000000
1683031443957925632.00000000000000000000,111.32930470507722020557,54.66422922450654198201,23.21171457597701959230,-81.28802106114714831619,0.00000000000000000000,0.00000000000000000000
1683031444092822528.00000000000000000000,111.68798507277499254542,56.14793734606981701063,23.97802190615589168488,-83.30965629244929004926,0.00000000000000000000,0.00000000000000000000
1683031444213415424.00000000000000000000,110.32761388772068755770,54.39972969363081745087,25.53924225383027390990,-80.64131134150852631137,0.00000000000000000000,0.00000000000000000000
1683031444320554752.00000000000000000000,108.86357591680746281781,56.74229005439471507088,22.45121322765508864450,-89.30987055214205838638,0.00000000000000000000,0.00000000000000000000
1683031444447316480.00000000000000000000,108.91037297182485588110,54.16842874993796641547,24.56218168621711583910,-94.44150866238558705845,0.00000000000000000000,0.00000000000000000000
1683031444569328896.00000000000000000000,110.15316146064810709504,57.32059040179638031987,24.09085846160170163444,-96.92729695512885257358,0.00000000000000000000,0.00000000000000000000
1683031444687695616.00000000000000000000,109.45693957836375886927,54.41203690612993426612,20.92401746728594247315,-100.67554230818544169779,0.00000000000000000000,0.00000000000000000000
1683031444821063936.00000000000000000000,107.03741703294572573668,56.63275404120087586080,21.33316346394918383567,-102.29904267964342068353,0.00000000000000000000,0.00000000000000000000
1683031444933979648.00000000000000000000,104.58208326834275680994,53.71949790871012453408,24.21239183077626222484,-108.10591377541015845054,0.00000000000000000000,0.00000000000000000000
1683031445066511360.00000000000000000000,105.73438799267484000666,54.07242513831749874953,25.70815188715595311919,-109.64247808377071180530,0.00000000000000000000,0.00000000000000000000
1683031445204022784.00000000000000000000,104.97320036598976855657,56.88316261046393407241,24.42971329089077059393,-111.44759635037256373380,0.00000000000000000000,0.00000000000000000000
1683031445317945600.00000000000000000000,106.23291490117883029143,56.20972498508179171495,23.17985927368416909644,-118.87130389467115776370,0.00000000000000000000,0.00000000000000000000
1683031445437091584.00000000000000000000,105.06040316982314664074,55.73316672289989526234,24.91377182156288583315,-120.01780759462612024890,0.00000000000000000000,0.00000000000000000000
1683031445559602688.00000000000000000000,102.53271591544097418591,57.73881881958988770975,26.28474683520432364503,-121.70208476994406510130,0.00000000000000000000,0.00000000000000000000
1683031445681927424.00000000000000000000,104.19857952244713317214,58.26380247676160450965,24.97251606748089614030,-119.51913072553007566512,0.00000000000000000000,0.00000000000000000000
1683031445813148160.00000000000000000000,105.39021963707899942619,55.04677888341156943852,26.92067571385888768987,-121.23044584739838569476,0.00000000000000000000,0.00000000000000000000
1683031445923905280.00000000000000000000,105.81541374999630988896,57.93428751952075828058,26.09482396804603254736,-121.10605236132612105848,0.00000000000000000000,0.00000000000000000000
1683031446049252352.00000000000000000000,105.33765654428096070205,57.39533972682809803700,23.75759497394313513041,-122.75649540943864224118,0.00000000000000000000,0.00000000000000000000
